iter	Passed	Remaining
0	7	1515
1	15	1581
2	23	1533
3	30	1488
4	38	1496
5	46	1503
6	51	1420
7	57	1370
8	63	1339
9	68	1310
10	75	1295
11	81	1270
12	86	1241
13	93	1236
14	98	1209
15	104	1203
16	110	1190
17	116	1173
18	121	1161
19	127	1146
20	132	1129
21	138	1123
22	144	1108
23	149	1095
24	155	1091
25	161	1079
26	166	1066
27	172	1057
28	177	1048
29	183	1039
30	189	1030
31	196	1029
32	205	1039
33	210	1028
34	216	1019
35	222	1013
36	227	1004
37	234	1000
38	240	994
39	248	992
40	253	982
41	258	972
42	264	965
43	270	957
44	275	948
45	283	947
46	288	938
47	293	928
48	299	923
49	304	914
50	311	909
51	316	901
52	321	892
53	328	887
54	334	881
55	339	872
56	346	868
57	351	859
58	357	853
59	362	846
60	368	839
61	376	838
62	385	839
63	394	838
64	400	831
65	406	825
66	411	816
67	417	810
68	424	805
69	429	798
70	435	791
71	441	785
72	447	778
73	453	773
74	460	766
75	464	758
76	473	756
77	478	748
78	485	743
79	491	736
80	496	729
81	504	725
82	509	718
83	515	711
84	522	707
85	528	700
86	536	696
87	541	689
88	547	682
89	555	678
90	562	673
91	570	669
92	575	662
93	585	660
94	591	653
95	597	646
96	603	640
97	609	634
98	617	629
99	622	622
100	628	616
101	633	609
102	639	601
103	645	595
104	650	588
105	655	581
106	663	576
107	668	569
108	673	562
109	680	556
110	685	549
111	690	542
112	697	536
113	703	530
114	709	524
115	714	517
116	719	510
117	726	504
118	732	498
119	740	493
120	748	488
121	780	498
122	791	495
123	798	489
124	807	484
125	814	478
126	821	472
127	829	466
128	837	461
129	846	455
130	855	450
131	864	445
132	874	440
133	883	435
134	895	431
135	905	425
136	914	420
137	925	415
138	932	409
139	939	402
140	947	396
141	955	390
142	962	383
143	970	377
144	977	370
145	986	364
146	993	358
147	1001	351
148	1008	345
149	1015	338
150	1023	332
151	1031	325
152	1037	318
153	1044	311
154	1050	305
155	1058	298
156	1066	292
157	1073	285
158	1081	278
159	1090	272
160	1100	266
161	1148	269
162	1169	265
163	1177	258
164	1185	251
165	1196	245
166	1204	238
167	1213	231
168	1222	224
169	1231	217
170	1240	210
171	1246	202
172	1254	195
173	1261	188
174	1267	181
175	1274	173
176	1281	166
177	1290	159
178	1297	152
179	1305	145
180	1311	137
181	1318	130
182	1325	123
183	1332	115
184	1338	108
185	1345	101
186	1352	94
187	1360	86
188	1369	79
189	1376	72
190	1383	65
191	1390	57
192	1397	50
193	1405	43
194	1410	36
195	1418	28
196	1426	21
197	1433	14
198	1438	7
199	1447	0
