p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position
aaronconnolly,2019,13,161,1312.0,24,28,2148.0,41,2000-01-28,175.33333333333334,75.66666666666667,Republic of Ireland,Medium/Low,72.33333333333333,58.0,63.0,Forward
aaronconnolly,2020,71,161,836.0,17,28,2148.0,41,2000-01-28,175.33333333333334,75.66666666666667,Republic of Ireland,Medium/Low,72.33333333333333,58.0,63.0,Forward
aaroncresswell,2016,95,226,2247.0,26,27,13368.0,149,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender
aaroncresswell,2018,87,226,1680.0,20,27,13368.0,149,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender
aaroncresswell,2019,35,226,2870.0,31,31,13368.0,149,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender
aaroncresswell,2020,9,226,3342.0,36,36,13368.0,149,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender
aaronlennon,2017,33,199,1996.0,29,29,4371.0,72,1987-04-16,165.0,63.0,England,High/High,81.8,59.2,75.8,Midfielder
aaronlennon,2018,166,199,1279.0,16,16,4371.0,72,1987-04-16,165.0,63.0,England,High/High,81.8,59.2,75.8,Midfielder
aaronmooy,2017,26,130,3226.0,36,36,7942.0,96,1990-09-15,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder
aaronmooy,2018,89,130,2467.0,29,29,7942.0,96,1990-09-15,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder
aaronmooy,2019,15,130,2249.0,31,36,7942.0,96,1990-09-15,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder
aaronramsdale,2019,11,11,3515.0,37,37,7125.0,75,1998-05-14,188.0,77.0,England,Medium/Medium,,,65.0,Goalkeeper
aaronramsey,2016,122,436,1329.0,23,24,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder
aaronramsey,2016,122,436,1329.0,23,24,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder
aaronramsey,2017,44,436,1945.0,24,24,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder
